Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Date,Payment,Rating,Tax,Total,Currency
INV-100000, ogun,Port Harcourt,Member,Male,Food & Beverages,37948.66,7,2025-08-05 00:00:00,Cash,4,13282.03,278922.65,?
INV-100001,Portharcourt,Abuja,Member,Female,Food & Beverages,13239.59,3,2024-01-12 00:00:00,Ewallet,6,1985.94,41704.71,?
INV-100002,lagos ,Abuja,Member,Male,Fashion,34828.74,3,2024-05-03 00:00:00,Cash,4,5224.31,109710.53,?
INV-100003, ogun,Port Harcourt,Normal,Female,Home Supplies,2465.7,2,2024-08-27 00:00:00,Ewallet,5,246.57,5177.97,?
INV-100004, ogun,Lagos,Member,Male,Home Supplies,42050.7,9,2025-05-07 00:00:00,Cash,9,18922.81,397379.11,?
INV-100005,Portharcourt,Lagos,Normal,Female,Fashion,22684.46,4,2025-02-18 00:00:00,Cash,6,4536.89,95274.73,?
INV-100006,lagos ,Abuja,Normal,Female,Health & Beauty,32016.3,6,2024-09-24 00:00:00,Cash,8,9604.89,201702.69,?
INV-100007,lagos ,Lagos,Member,Male,Food & Beverages,11451.27,-1,2025-04-21 00:00:00,Cash,7,1145.13,24047.67,?
INV-100008, ogun,Port Harcourt,Member,Female,Food & Beverages,34015.15,9,2024-02-19 00:00:00,Cash,4,15306.82,321443.17,?
INV-100009,ABUJA,Lagos,Normal,,Fashion,38725.89,7,2024-02-26 00:00:00,Ewallet,6,13554.06,284635.29,?
INV-100010, ogun,Abuja,Normal,Male,Fashion,23924.05,5,2024-06-04 00:00:00,Credit Card,4,5981.01,125601.26,?
INV-100011, ogun,Port Harcourt,Member,Male,Health & Beauty,31077.48,7,2024-12-08 00:00:00,Credit Card,8,10877.12,228419.48,?
INV-100012, ogun,Lagos,Member,Female,Sports Equipment,23088.13,4,2025-04-04 00:00:00,Credit Card,4,4617.63,96970.15,?
INV-100013, ogun,Ogun,Member,Female,Home Supplies,44757.52,7,2024-07-13 00:00:00,Credit Card,6,15665.13,328967.77,?
INV-100014,Portharcourt,Port Harcourt,Normal,Male,Electronics,25144.52,2,2025-04-12 00:00:00,Credit Card,5,2514.45,52803.49,?
INV-100015,lagos ,Port Harcourt,Normal,Male,Sports Equipment,42169.53,7,2024-04-18 00:00:00,Cash,9,14759.34,309946.05,?
INV-100016,Portharcourt,Ogun,Normal,Female,Home Supplies,40166.93,4,2025-04-22 00:00:00,Ewallet,6,8033.39,168701.11,?
INV-100017,Portharcourt,Ogun,Normal,Female,Food & Beverages,20819.99,4,2025-07-27 00:00:00,Cash,4,4164,87443.96,?
INV-100018,Portharcourt,Port Harcourt,Normal,Female,Sports Equipment,11889.18,1,2024-08-16 00:00:00,Ewallet,8,594.46,12483.64,?
INV-100019, ogun,Ogun,Member,Male,Fashion,20601.07,3,2024-06-20 00:00:00,Ewallet,7,3090.16,64893.37,?
INV-100020,ABUJA,Abuja,Member,Male,Health & Beauty,41397.76,5,2024-01-07 00:00:00,Ewallet,7,10349.44,217338.24,?
INV-100021,lagos ,Abuja,Normal,Male,Home Supplies,11767.81,5,2025-10-08 00:00:00,Ewallet,8,2941.95,61781,?
INV-100022,ABUJA,Abuja,Normal,Male,Health & Beauty,26459.6,2,2025-09-30 00:00:00,Credit Card,4,2645.96,55565.16,?
INV-100023,Portharcourt,Port Harcourt,Member,Male,Home Supplies,40401.79,4,2024-02-10 00:00:00,Ewallet,9,8080.36,169687.52,?
INV-100024,Portharcourt,Ogun,Member,Female,Sports Equipment,17997.14,1,2024-07-21 00:00:00,Ewallet,8,899.86,18897,?
INV-100025,ABUJA,Ogun,Member,Male,Food & Beverages,32289.38,9,2025-07-16 00:00:00,Credit Card,4,14530.22,305134.64,?
INV-100026,ABUJA,Lagos,Member,Female,Electronics,12658.76,1,2025-01-19 00:00:00,Cash,6,632.94,13291.7,?
INV-100027,ABUJA,Lagos,Normal,Female,Health & Beauty,5909.33,6,2024-09-01 00:00:00,Cash,9,1772.8,37228.78,?
INV-100028,Portharcourt,Ogun,Member,Male,Health & Beauty,39822.02,7,2024-09-18 00:00:00,Cash,5,13937.71,292691.85,?
INV-100029,Portharcourt,Ogun,Normal,Female,Electronics,5398.95,3,2025-04-04 00:00:00,Cash,4,809.84,17006.69,?
INV-100030,lagos ,Ogun,Member,Male,Health & Beauty,13933.38,1,2025-10-08 00:00:00,Ewallet,7,696.67,14630.05,?
INV-100031,lagos ,Port Harcourt,Member,Female,Health & Beauty,42827.92,7,2024-04-11 00:00:00,Credit Card,7,14989.77,314785.21,?
INV-100032,Portharcourt,Ogun,Member,Male,Home Supplies,17650.23,3,2024-02-25 00:00:00,Credit Card,9,2647.53,55598.22,?
INV-100033,ABUJA,Lagos,Normal,Male,Home Supplies,48665.74,6,2024-06-26 00:00:00,Cash,5,14599.72,306594.16,?
INV-100034,ABUJA,Port Harcourt,Normal,Female,Electronics,48996.85,6,2024-11-23 00:00:00,Credit Card,4,14699.06,308680.16,?
INV-100035,lagos ,Ogun,Member,Male,Food & Beverages,13779.66,4,2024-12-13 00:00:00,Ewallet,5,2755.93,57874.57,?
INV-100036,Portharcourt,Lagos,Normal,Female,Sports Equipment,2528.42,6,2025-02-27 00:00:00,Cash,6,758.53,15929.05,?
INV-100037,lagos ,Port Harcourt,Normal,Male,,35400.63,4,2025-04-12 00:00:00,Ewallet,5,7080.13,148682.65,?
INV-100038,lagos ,Ogun,Member,Male,Health & Beauty,22823.83,8,2024-01-13 00:00:00,Ewallet,6,9129.53,191720.17,?
INV-100039, ogun,Ogun,Member,Male,Food & Beverages,5487.27,9,2024-07-04 00:00:00,Ewallet,7,2469.27,51854.7,?
INV-100040, ogun,Ogun,Normal,Female,Electronics,35522.38,2,2024-03-23 00:00:00,Ewallet,6,3552.24,74597,?
INV-100041, ogun,Port Harcourt,Normal,Female,Electronics,2043.16,7,2024-12-27 00:00:00,Ewallet,4,715.11,15017.23,?
INV-100042,ABUJA,Lagos,Normal,Male,Home Supplies,43574.74,9,2024-06-02 00:00:00,Cash,9,19608.63,411781.29,?
INV-100043,Portharcourt,Lagos,Member,Female,Health & Beauty,7363.3,9,2024-07-17 00:00:00,Ewallet,9,3313.48,69583.18,?
INV-100044,Portharcourt,Abuja,Member,Male,Fashion,6801.94,5,2025-08-09 00:00:00,Cash,4,1700.48,35710.18,?
INV-100045,Portharcourt,Ogun,Normal,Female,Electronics,9195.78,-1,2024-05-03 00:00:00,Credit Card,4,459.79,9655.57,?
INV-100046,Portharcourt,Abuja,Member,Female,Health & Beauty,48033.18,6,2025-03-11 00:00:00,Ewallet,4,14409.95,302609.03,?
INV-100047, ogun,Abuja,Member,Male,,34811.88,8,2024-04-01 00:00:00,Ewallet,8,13924.75,292419.79,?
INV-100048,ABUJA,Lagos,Normal,Male,Home Supplies,40167.89,1,2024-03-12 00:00:00,Credit Card,6,2008.39,42176.28,?
INV-100049,ABUJA,Port Harcourt,Normal,,Sports Equipment,20182.93,2,2025-04-12 00:00:00,Cash,4,2018.29,42384.15,?
INV-100050, ogun,Port Harcourt,Member,Male,Food & Beverages,17147.48,1,2025-08-14 00:00:00,Ewallet,9,857.37,18004.85,?
INV-100051,ABUJA,Lagos,Member,Male,Electronics,12106.96,5,2025-10-05 00:00:00,Credit Card,5,3026.74,63561.54,?
INV-100052, ogun,Port Harcourt,Normal,Female,Electronics,24292.08,2,2025-01-21 00:00:00,Credit Card,5,2429.21,51013.37,?
INV-100053,Portharcourt,Abuja,Member,Female,Food & Beverages,27815.52,4,2024-11-17 00:00:00,Ewallet,8,5563.1,116825.18,?
INV-100054, ogun,Ogun,Member,Male,Electronics,31772.85,1,2024-07-03 00:00:00,Cash,6,1588.64,33361.49,?
INV-100055,Portharcourt,Lagos,Normal,Male,Health & Beauty,13227.37,7,2025-07-24 00:00:00,Cash,6,4629.58,97221.17,?
INV-100056,Portharcourt,Ogun,Normal,Male,Electronics,47458.38,8,2025-08-03 00:00:00,Ewallet,6,18983.35,398650.39,?
INV-100057,lagos ,Port Harcourt,Member,Female,Home Supplies,8903.05,5,2024-10-05 00:00:00,Credit Card,9,2225.76,46741.01,?
INV-100058, ogun,Ogun,Member,Male,Health & Beauty,48299.83,2,2025-08-17 00:00:00,Ewallet,9,4829.98,101429.64,?
INV-100059,lagos ,Port Harcourt,Member,Male,Fashion,1235.38,8,2025-02-12 00:00:00,Cash,8,494.15,10377.19,?
INV-100060, ogun,Port Harcourt,Normal,Female,Electronics,24315.72,1,2025-01-22 00:00:00,,6,1215.79,25531.51,?
INV-100061, ogun,Abuja,Member,Female,Electronics,17001.71,7,2025-05-19 00:00:00,Ewallet,6,5950.6,124962.57,?
INV-100062,lagos ,Port Harcourt,Member,Female,Home Supplies,22731.61,1,2025-04-21 00:00:00,Credit Card,4,1136.58,23868.19,?
INV-100063,lagos ,Abuja,Normal,Female,Home Supplies,28747.9,6,2024-08-30 00:00:00,Cash,6,8624.37,181111.77,?
INV-100064, ogun,Abuja,Normal,Male,Sports Equipment,22061.66,6,2025-05-09 00:00:00,Cash,9,6618.5,138988.46,?
